id;nombre
276;PROPILPARABENO (NIPASOL)
277;PROPIONATO DE CALCIO
278;PULVERIZADOR GIBER
279;REPELENTE CYNTILAB
280;REPELENTE DE AVES P/PLANTAS x 500 cc 
281;REPELENTE DE MORDISCOS Pulv. x 200 cc 
282;REPELENTE P/ROEDORES Y ALIMAÐAS LPU x 500 cc 
283;REPELENTE PARA PILETAS
284;RESINA WW COLOFONIA NonCristal
285;SACARINA SODICA 99% FG
286;SALICILATO DE METILO
287;SHAMPOO PARA AUTOS
288;SILICAGEL AZUL 10%
289;SILICAGEL AZUL 100%
290;SILICAGEL BLANCO 100%
291;SILICAGEL NARANJA 100%
292;SILICATO DE POTASIO
293;SILICATO DE SODIO ALCALINO 58/60 Be
294;SILICATO DE SODIO NEUTRO 38/41ºBe
295;SILICATO DE SODIO NEUTRO 40/42ºBe
296;SILICONA ACEITE Visc 1000
297;SILICONA ANTIESPUMANTE
298;SILICONA EMULGENTE 36%
299;SODA CAUSTICA 27,5% Solucion
300;TWEEN 80
301;UREA 46% NITROGENO
302;UREA CRISTAL PA x250 gr UNID
303;VAINILLINA 99% FG
304;VASELINA LIQUIDA INDUSTRIAL
305;VASELINA LIQUIDA PURA
306;VASELINA SOLIDA AMARILLA
307;VASELINA SOLIDA BLANCA
308;ZINC METAL PA
309;ZINC Polvo Extrafino
310;ZINC SULFATO PA
